Metric,Simple,Multiple
MAE,1474748.1337969352,979679.6912959901
MSE,3675286604768.185,1771751116594.034
R2,0.27287851871974644,0.6494754192267806
Slope,425.72984193878284,
Intercept,2512254.2639593435,-127711.16739244387
